quantile_bin,n_gaps,n_hidden_days,mae_model_dayweighted,mae_interp_dayweighted,rel_improvement_vs_interp,ci_lo,ci_hi,ci_excludes_zero,small_n_flag,n_boot,seed,comparator
below_p10,123,457,1.3275367453922589,1.2088121125191924,-0.09821595237463461,-0.256741452215212,0.022288882194817554,False,False,2000,42,external_physical_plus_currents__full_series
p10_to_p25,170,556,0.8524290764932152,1.144750996285689,0.25535851966144146,0.18995854187281655,0.32216309830024853,True,False,2000,42,external_physical_plus_currents__full_series
p25_to_p50,223,685,0.6847785163099749,0.8731682276581958,0.21575419876817437,0.15317107210705033,0.2764636170079218,True,False,2000,42,external_physical_plus_currents__full_series
p50_to_p75,211,655,0.7636381142012035,0.8182536592563161,0.06674647212057792,-0.007895084926804002,0.13883558238585328,False,False,2000,42,external_physical_plus_currents__full_series
p75_to_p90,121,309,0.8684150902584533,0.8201027702842709,-0.05891008020547958,-0.2031765226874427,0.0665152927529728,False,False,2000,42,external_physical_plus_currents__full_series
above_p90,79,250,1.1035022354125976,0.9291006353693987,-0.1877101289182297,-0.3577228455434857,-0.0559770224005631,True,False,2000,42,external_physical_plus_currents__full_series
