date,btg_water_temp_daily_mean,btg_water_temp_valid_hours,btg_water_temp_available,btg_pressure_daily_mean,btg_pressure_valid_hours,btg_pressure_available
2015-07-01,,0,False,,0,False
2015-07-02,,0,False,,0,False
2015-07-03,,0,False,,0,False
2015-07-04,,0,False,,0,False
2015-07-05,,0,False,,0,False
2015-07-06,,0,False,,0,False
2015-07-07,,0,False,,0,False
2015-07-08,,0,False,,0,False
2015-07-09,,0,False,,0,False
2015-07-10,,0,False,,0,False
2015-07-11,,0,False,,0,False
2015-07-12,12.806809523809523,21,True,1016.4880952380952,21,True
2015-07-13,12.936583333333333,24,True,1019.8541666666666,24,True
2015-07-14,10.77775,12,True,1021.2083333333334,12,True
2015-07-15,,0,False,,0,False
2015-07-16,,0,False,,0,False
2015-07-17,,0,False,,0,False
2015-07-18,12.5476,20,True,1017.675,20,True
2015-07-19,12.591499999999998,24,True,1021.3333333333334,24,True
2015-07-20,12.288625000000001,24,True,1021.25,24,True
2015-07-21,11.73675,24,True,1016.8020833333334,24,True
2015-07-22,12.916166666666667,24,True,1020.4166666666666,24,True
2015-07-23,12.267291666666667,24,True,1017.9375,24,True
2015-07-24,11.068624999999999,24,True,1015.8854166666666,24,True
2015-07-25,12.111791666666667,24,True,1015.1041666666666,24,True
2015-07-26,11.219875,24,True,1014.34375,24,True
2015-07-27,13.484458333333334,24,True,1016.4166666666666,24,True
2015-07-28,13.521291666666668,24,True,1015.28125,24,True
2015-07-29,12.684291666666667,24,True,1013.9166666666666,24,True
2015-07-30,12.64,24,True,1018.5833333333334,24,True
2015-07-31,13.820875000000001,24,True,1018.53125,24,True
2015-08-01,13.549375,24,True,1016.8333333333334,24,True
2015-08-02,14.7065,24,True,1016.7604166666666,24,True
2015-08-03,17.519458333333333,24,True,1010.71875,24,True
2015-08-04,13.288708333333332,24,True,1011.888875,24,True
2015-08-05,13.648874999999999,24,True,1013.0,24,True
2015-08-06,13.576749999999999,24,True,1012.0416666666666,24,True
2015-08-07,14.357125000000002,24,True,1007.9404761904761,21,True
2015-08-08,15.552999999999999,6,True,,0,False
2015-08-09,12.99490909090909,22,True,1020.2613636363636,22,True
2015-08-10,13.478250000000001,24,True,1017.625,24,True
2015-08-11,12.930333333333332,24,True,1017.4895833333334,24,True
2015-08-12,13.046208333333333,24,True,1020.8333333333334,24,True
2015-08-13,12.034791666666665,24,True,1018.28125,24,True
2015-08-14,13.496739130434783,23,True,1021.7826086956521,23,True
2015-08-15,13.405958333333333,24,True,1018.0208333333334,24,True
2015-08-16,12.236291666666666,24,True,1017.1875,24,True
2015-08-17,11.563375,24,True,1021.5,24,True
2015-08-18,12.819416666666667,24,True,1015.2708333333334,24,True
2015-08-19,13.202416666666666,24,True,1014.7291666666666,24,True
2015-08-20,13.573083333333335,24,True,1014.9583333333334,24,True
2015-08-21,12.485458333333334,24,True,1017.03125,24,True
2015-08-22,13.515041666666667,24,True,1017.9583333333334,24,True
2015-08-23,13.532458333333333,24,True,1014.1979166666666,24,True
