date,n_expected_hours,n_rows,valid_hours,coverage_fraction,quality_class,eligible_ge_12,eligible_ge_17,eligible_ge_18,eligible_ge_22,oxygen_mean_mgL,oxygen_median_mgL,oxygen_std_mgL,oxygen_min_mgL,oxygen_max_mgL,oxygen_q10_mgL,oxygen_q25_mgL,oxygen_q75_mgL,oxygen_q90_mgL,raw_prom_non_na_count,raw_prom_na_count,negative_oxygen_count,zero_oxygen_count,invalid_oxygen_count,first_valid_hour,last_valid_hour,longest_invalid_run_hours,source_variable,unit,timezone_status
2015-07-28,24,24,24,1.0,high,True,True,True,True,7.752375000000001,7.8065,0.6800097066123074,6.469,8.786,6.7276,7.41375,8.238,8.608699999999999,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-07-29,24,24,24,1.0,high,True,True,True,True,6.504458333333335,6.562,0.3820136554771497,5.746,7.054,5.8548,6.37525,6.74775,6.9269,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-07-30,24,24,24,1.0,high,True,True,True,True,5.46975,5.3295,0.4550250112571453,4.862,6.792,5.0249,5.2235000000000005,5.579000000000001,6.1096,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-07-31,24,24,24,1.0,high,True,True,True,True,6.264625,6.1365,0.7628432406350656,5.041,7.748,5.381600000000001,5.83075,6.8575,7.3534999999999995,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-08-01,24,24,24,1.0,high,True,True,True,True,5.5290833333333325,5.5885,1.2739564498961038,3.84,7.66,4.0719,4.23025,6.38475,7.1659,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-08-02,24,24,24,1.0,high,True,True,True,True,5.618624999999999,5.627000000000001,1.116369652528658,3.752,7.151,4.2248,4.7292499999999995,6.686999999999999,6.9279,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-08-03,24,24,24,1.0,high,True,True,True,True,5.139166666666667,5.077,1.1155335111473585,2.872,6.793,3.9856,4.218249999999999,6.15075,6.6351,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-08-04,24,24,12,0.5,partial,True,False,False,False,5.623916666666666,5.771,0.933777612061822,3.844,6.792,4.195200000000001,5.22375,6.1465,6.7387,12,12,0,0,0,0.0,11.0,12,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-08-05,24,24,0,0.0,missing,False,False,False,False,,,,,,,,,,0,24,0,0,0,,,24,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-08-06,24,24,0,0.0,missing,False,False,False,False,,,,,,,,,,0,24,0,0,0,,,24,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-08-07,24,24,0,0.0,missing,False,False,False,False,,,,,,,,,,0,24,0,0,0,,,24,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
