date,chl_mean,target_eligible_default,coverage_fraction,chl_satellite_proxy_log10,wind_spd_ms,sst_primary_degC,gap_id,in_artificial_gap
2015-12-27,,False,0.0,,3.7046323690564726,16.657983398437523,L14_20160311,False
2015-12-28,,False,0.0,0.4409277255647806,3.042168825837293,16.917993164062523,L14_20160311,False
2015-12-29,,False,0.0,0.2897875331999938,2.976433910195728,17.145989990234398,L14_20160311,False
2015-12-30,,False,0.0,0.27123561951697,4.464189720749411,17.037988281250023,L14_20160311,False
2015-12-31,,False,0.0,0.3557942549274918,3.953614930281836,17.799005126953148,L14_20160311,False
2016-01-01,,False,0.0,-0.0691282466277846,3.4665013674549576,17.415979003906273,L14_20160311,False
2016-01-02,,False,0.0,0.8083796583799072,3.0416920965255323,17.722985839843773,L14_20160311,False
2016-01-03,,False,0.0,0.4697371438290649,2.28416432283716,18.010003662109398,L14_20160311,False
2016-01-04,,False,0.0,,2.376868047150979,17.830987548828148,L14_20160311,False
2016-01-05,,False,0.0,,1.705365296833693,18.1459899902344,L14_20160311,False
2016-01-06,,False,0.0,,2.0437490599970696,18.57100830078128,L14_20160311,False
2016-01-07,2.027214285714286,False,0.583333,1.1381173188392202,2.285876948605399,19.100000000000023,L14_20160311,False
2016-01-08,,False,0.0,0.242547713626647,2.65985706332712,19.137994384765648,L14_20160311,False
2016-01-09,,False,0.0,0.7584351312789847,4.410046782736826,18.774987792968773,L14_20160311,False
2016-01-10,,False,0.0,1.0250310705897656,3.802681032908756,18.79000244140628,L14_20160311,False
2016-01-11,,False,0.0,0.3524329300387372,3.253649439349334,18.7600036621094,L14_20160311,False
2016-01-12,,False,0.0,,3.786788057972221,18.549981689453148,L14_20160311,False
2016-01-13,1.2595454545454543,False,0.458333,0.6042736991976486,3.732516986695862,18.5729919433594,L14_20160311,False
2016-01-14,1.045958333333333,True,1.0,0.960765550465465,4.030993035760625,18.278985595703148,L14_20160311,False
2016-01-15,0.5397083333333333,True,1.0,0.4894392649219365,5.132039468730651,18.275994873046898,L14_20160311,False
2016-01-16,0.9669166666666666,True,1.0,0.2227522028543029,5.032839287693279,18.305993652343773,L14_20160311,False
2016-01-17,1.1559166666666665,True,1.0,0.1749615078181789,3.252400292010869,18.370996093750023,L14_20160311,False
2016-01-18,3.8401666666666663,True,1.0,0.519908123710177,2.144018248877773,18.537988281250023,L14_20160311,False
2016-01-19,3.2922083333333334,True,1.0,0.8094789461147132,2.4128379685316625,18.433984375000023,L14_20160311,False
2016-01-20,2.783583333333333,True,1.0,0.7666970501164768,2.294720912639719,19.140008544921898,L14_20160311,False
2016-01-21,1.8927916666666669,True,1.0,1.366435783116367,2.164048355515364,19.726983642578148,L14_20160311,False
2016-01-22,1.7400833333333334,True,1.0,,2.509545856265991,19.892999267578148,L14_20160311,False
2016-01-23,1.463666666666667,True,1.0,,2.089210605574406,19.860986328125023,L14_20160311,False
2016-01-24,2.3805833333333335,True,1.0,0.5386004990733211,4.067884510916988,19.5830017089844,L14_20160311,False
2016-01-25,2.5220833333333332,True,1.0,0.5487561735074861,3.3560069505870707,18.986993408203148,L14_20160311,False
2016-01-26,3.5909166666666668,True,1.0,0.2046982201189062,3.0199001506405123,19.245996093750023,L14_20160311,False
2016-01-27,4.456166666666666,True,1.0,0.3091477526213403,3.921179108268523,19.730004882812523,L14_20160311,False
2016-01-28,3.020208333333333,True,1.0,,3.4998764196407177,19.991998291015648,L14_20160311,False
2016-01-29,4.463541666666667,True,1.0,0.7202106581306748,4.335883180295218,20.106988525390648,L14_20160311,False
2016-01-30,3.029041666666666,True,1.0,0.5883475611352964,4.065408222994728,20.06099853515628,L14_20160311,False
2016-01-31,3.932625,True,1.0,-0.2168615532971463,2.4577508035342306,19.652978515625023,L14_20160311,False
2016-02-01,2.5011,False,0.416667,0.2224931632354022,2.610860046433612,19.6249938964844,L14_20160311,False
2016-02-02,,False,0.0,0.5262522597699076,2.2131148643947456,20.064996337890648,L14_20160311,False
2016-02-03,,False,0.0,0.0058115335562642,3.0381088312663973,20.25899658203128,L14_20160311,False
2016-02-04,4.8931818181818185,False,0.458333,,2.6564318508729627,19.943994140625023,L14_20160311,False
2016-02-05,3.196916666666666,True,1.0,0.4629069354873369,3.3559239217721157,19.856988525390648,L14_20160311,False
2016-02-06,4.131,True,1.0,1.0288724849142747,3.1255738866458964,19.846002197265648,L14_20160311,False
2016-02-07,3.1019166666666664,True,1.0,,2.7864958721553355,19.6140075683594,L14_20160311,False
2016-02-08,4.068375,True,1.0,1.0262731140234476,3.888834907190406,19.282983398437523,L14_20160311,False
2016-02-09,3.466583333333334,True,1.0,0.2565590744801412,2.821821568562561,19.230004882812523,L14_20160311,False
2016-02-10,3.8542083333333337,True,1.0,-0.2476980371632046,3.6853630601468166,19.1039978027344,L14_20160311,False
2016-02-11,2.689666666666666,True,1.0,0.1120698963487074,3.606715175783694,18.941003417968773,L14_20160311,False
2016-02-12,1.7535,True,1.0,,3.974224384446277,18.90499267578128,L14_20160311,False
2016-02-13,1.2837083333333332,True,1.0,,4.257325968154379,18.971978759765648,L14_20160311,False
2016-02-14,1.1750416666666668,True,1.0,0.1377955643399904,4.758658873314582,18.667993164062523,L14_20160311,False
2016-02-15,1.5528750000000002,True,1.0,0.913747215526507,3.4040398078978584,18.452996826171898,L14_20160311,False
2016-02-16,2.6014166666666667,True,1.0,0.3391412088079891,2.804983986104121,17.976007080078148,L14_20160311,False
2016-02-17,3.628916666666667,True,1.0,0.9623860053491176,3.2817678477819627,18.027978515625023,L14_20160311,False
2016-02-18,3.0104583333333337,True,1.0,1.10409093330709,3.8379653495553328,18.097985839843773,L14_20160311,False
2016-02-19,3.1517916666666665,True,1.0,0.998133821786358,4.337719202487418,17.947991943359398,L14_20160311,False
2016-02-20,3.3933750000000003,True,1.0,0.7747306346737343,3.646290816979976,17.840997314453148,L14_20160311,False
2016-02-21,3.2814166666666664,True,1.0,0.2433189167490219,2.321661496559455,18.070001220703148,L14_20160311,False
2016-02-22,2.4457083333333336,True,1.0,0.8160435067102575,2.392464101354424,18.350000000000023,L14_20160311,False
