start,end,mae_persistence,mae_climatology,mae_linear_interpolation,mae_gaussian_process,mae_external_tabular,mae_gap_edge_residual,mae_tsicl_target_only,mae_tsicl_satellite_proxy,mae_tsicl_physical_bundle,rank_persistence,rank_climatology,rank_linear_interpolation,rank_gaussian_process,rank_external_tabular,rank_gap_edge_residual,rank_tsicl_target_only,rank_tsicl_satellite_proxy,rank_tsicl_physical_bundle,target_p90_local_window,is_event_gap,target_std_in_gap,target_mean_in_gap,proxy_completeness,wind_completeness,sst_completeness,selection_score,reason
2017-04-21,2017-05-04,1.3214564393939394,1.7408808646462361,1.003129166666667,1.1045523620353532,1.7216675363422556,0.9971558875575994,0.7911577880609605,0.6406953281391236,0.7885791378588906,7.0,9.0,5.0,6.0,8.0,4.0,3.0,1.0,2.0,8.456100000000001,False,0.6734687306314918,1.682229166666667,1.0,1.0,1.0,0.0,TS-ICL+proxy near-best; interpolation a credible baseline; external-tabular not dominant; non-event/background window
2025-01-24,2025-02-06,0.9625119047619047,1.090430743923305,0.7613928571428572,0.9060742263999824,2.040709521958685,1.3497189357226105,0.7328393576031639,0.707808329900106,0.8129392934526715,6.0,7.0,3.0,5.0,9.0,8.0,2.0,1.0,4.0,6.323183333333332,False,0.8601287004937006,3.4115357142857143,1.0,1.0,1.0,0.0,TS-ICL+proxy near-best; interpolation a credible baseline; external-tabular not dominant; non-event/background window
2017-10-03,2017-10-16,3.212479166666667,2.3206972920336164,1.4025238095238088,1.8031594027874738,3.0717791411862057,1.8189697253636508,1.2417677375929697,1.2208390506789795,1.2336043708437967,9.0,7.0,4.0,5.0,8.0,6.0,3.0,1.0,2.0,26.044425000000015,False,2.240864946372626,4.910282738095239,1.0,1.0,1.0,0.0,TS-ICL+proxy near-best; interpolation a credible baseline; external-tabular not dominant; non-event/background window
2018-12-02,2018-12-15,7.0310803571428595,1.8805622346233584,4.631773015873017,5.1823964314851905,1.580740327340788,4.843016035469651,1.542769047328404,1.4661286146981374,1.7829133863449098,9.0,5.0,6.0,8.0,3.0,7.0,2.0,1.0,4.0,20.74591666666667,False,2.3869934970610402,5.5959851190476195,1.0,1.0,1.0,0.0,TS-ICL+proxy near-best; external-tabular not dominant; non-event/background window
2023-04-05,2023-04-18,1.5745267857142855,1.3402862115917942,1.7873767857142855,2.0701895433590165,2.0778334838969705,1.798023341319902,1.0032914363316128,0.9837925556727817,0.9928694449833462,5.0,4.0,6.0,8.0,9.0,7.0,3.0,1.0,2.0,8.73098750000001,False,0.9965363876828471,4.8764851190476195,1.0,1.0,1.0,0.0,TS-ICL+proxy near-best; external-tabular not dominant; non-event/background window
2025-12-30,2026-01-12,2.7371904761904764,2.836414820659288,2.5516047619047617,2.8576544237704637,3.828590999393655,3.909593870094074,2.395506862549555,2.331948624656314,2.351559983298892,5.0,6.0,4.0,7.0,8.0,9.0,3.0,1.0,2.0,49.8838791666667,False,3.165213504833306,6.307940476190477,1.0,1.0,1.0,0.0,TS-ICL+proxy near-best; interpolation a credible baseline; external-tabular not dominant; non-event/background window
2025-01-29,2025-02-11,1.1686309523809524,1.4507851078740834,0.5248529761904762,0.6613178054032467,2.3975587137932055,0.9843276442536762,0.39011783745175316,0.35782790869758246,0.49442210987636015,7.0,8.0,4.0,5.0,9.0,6.0,2.0,1.0,3.0,6.375216666666666,False,0.4440536111637704,2.725452380952381,1.0,1.0,1.0,0.0,TS-ICL+proxy near-best; interpolation a credible baseline; external-tabular not dominant; non-event/background window
2026-01-09,2026-01-22,2.777483652518978,4.499982390682871,2.8441030969634222,3.32535932387271,4.725330376599717,3.7030007518567465,2.4446693002109776,2.4014462023643555,2.5841063425381314,4.0,8.0,5.0,6.0,9.0,7.0,2.0,1.0,3.0,34.9987125,False,3.64245898937062,8.933629442719116,1.0,1.0,1.0,0.0,TS-ICL+proxy near-best; interpolation a credible baseline; external-tabular not dominant; non-event/background window
2026-01-24,2026-02-06,3.8266666666666658,3.8113200969760563,3.772763888888888,3.5968460846808545,4.338908965511879,4.69171154426594,2.9805113417307534,2.979735289255778,3.2339259385608488,7.0,6.0,5.0,4.0,8.0,9.0,2.0,1.0,3.0,34.9987125,False,3.522161365395693,7.981571428571429,1.0,1.0,1.0,0.0,TS-ICL+proxy near-best; interpolation a credible baseline; external-tabular not dominant; non-event/background window
2020-12-01,2020-12-14,2.8909261904761903,2.8054029340073554,2.377502777777778,2.2118564516294597,2.803846052774784,2.3825748494028005,2.1793156833103726,2.1768629010881697,2.547917896852039,9.0,8.0,4.0,3.0,7.0,5.0,2.0,1.0,6.0,12.261425000000003,False,3.3456671781843013,5.108728571428571,0.9285714285714286,1.0,1.0,0.1428571428571428,TS-ICL+proxy near-best; interpolation a credible baseline; external-tabular not dominant; non-event/background window
